Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, s, 0, 0, 30000000, 4, 30269000, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 30000000, 4, 30269300, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 30000000, 4, 30269400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 35000000, 0, 35200300, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 35000000, 0, 35203100, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 35000000, 0, 35204800, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 35000000, 0, 35214000, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 35000000, 0, 35215000, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 35000000, 0, 35277300, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 35000000, 1, 35278300, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 35000000, 1, 35278400, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 35000000, 1, 35278600, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 35000000, 1, 35278600, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 35000000, 1, 35278700, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 35000000, 1, 35280200, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 40000000, 0, 40340900, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 40000000, 0, 40342100, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 40000000, 0, 40344400, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 40000000, 0, 40355700, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 40000000, 0, 40416300, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 40000000, 0, 40416500, NO TRIGGER, 0, <delay.inp:>, <>
Schedule called, delay, 0, 0, 40000000, 0, 40417000, delay.act, 0, <>, <>
Reaction ends, delay, 1, 0, 40000000, 0, 40417100, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 40000000, 1, 40417600, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 40000000, 1, 40417700, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 40000000, 1, 40417900, NO TRIGGER, 0, <>, <d1.in2:delay_0.inp:>
Reaction starts, d1, 0, 0, 40000000, 1, 40418100, NO TRIGGER, 0, <d1.in2:>, <>
Reaction ends, d1, 0, 0, 40000000, 1, 40419900, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 1, 0, 40000000, 1, 40420000, NO TRIGGER, 0, <delay_0.inp:>, <>
Schedule called, delay_0, 0, 0, 40000000, 1, 40420200, delay_0.act, 0, <>, <>
Reaction ends, delay_0, 1, 0, 40000000, 1, 40420200, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 40000000, 2, 40420400, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 40000000, 2, 40420600, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 40000000, 2, 40420600, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 40000000, 2, 40420800, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 40000000, 2, 40421600, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 40000000, 2, 40422900, NO TRIGGER, 0, <delay.inp:>, <>
Reaction ends, delay, 1, 0, 40000000, 2, 40423100, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 40000000, 3, 40423300, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 40000000, 3, 40423400, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 40000000, 3, 40423400, NO TRIGGER, 0, <>, <d1.in2:delay_0.inp:>
Reaction starts, d1, 0, 0, 40000000, 3, 40423600, NO TRIGGER, 0, <d1.in2:>, <>
Reaction ends, d1, 0, 0, 40000000, 3, 40424400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 1, 0, 40000000, 3, 40424400, NO TRIGGER, 0, <delay_0.inp:>, <>
Reaction ends, delay_0, 1, 0, 40000000, 3, 40424600, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 40000000, 4, 40424700, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 40000000, 4, 40424900, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 40000000, 4, 40424900, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 45000000, 0, 45150700, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 45000000, 0, 45151800, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 45000000, 0, 45152200, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 45000000, 0, 45152300, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 45000000, 0, 45152500, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 45000000, 0, 45180400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 45000000, 1, 45181500, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 45000000, 1, 45186400, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 45000000, 1, 45186600, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 45000000, 1, 45186700, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 45000000, 1, 45186800, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 45000000, 1, 45188300, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 50000000, 0, 50150900, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 50000000, 0, 50151200, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 50000000, 0, 50151800, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 50000000, 0, 50152100, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 50000000, 0, 50174500, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 50000000, 0, 50174700, NO TRIGGER, 0, <delay.inp:>, <>
Reaction ends, delay, 1, 0, 50000000, 0, 50175500, NO TRIGGER, 0, <>, <>
