Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction ends, s2, 0, 1, 70000000, 0, 70583800, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 70000000, 0, 70585800, NO TRIGGER, 0, <fusion.p2:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 70000000, 0, 70586600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 70000000, 0, 70587200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 80000000, 0, 80530300, NO TRIGGER, 0, <>, <>
Reaction starts, s1, 0, 1, 80000000, 0, 80605800, NO TRIGGER, 0, <s1.t1:>, <>
Reaction ends, s1, 0, 1, 80000000, 0, 80615500, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 80000000, 0, 80619600, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 80000000, 0, 80620200, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 80000000, 0, 80621400, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 80000000, 0, 80631300, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 80000000, 0, 80631900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 80000000, 1, 80633700, NO TRIGGER, 0, <>, <>
Reaction starts, fusion, 1, 1, 80000000, 1, 80634100, NO TRIGGER, 0, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 80000000, 1, 80635900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 80000000, 1, 80636200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 90000000, 0, 90235300, NO TRIGGER, 0, <>, <>
Reaction starts, s2, 0, 1, 90000000, 0, 90238600, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 90000000, 0, 90241000, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 90000000, 0, 90243300, NO TRIGGER, 0, <fusion.p2:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 90000000, 0, 90244000, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 90000000, 0, 90244800, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 100000000, 0, 100250000, NO TRIGGER, 0, <>, <>
Reaction starts, s1, 0, 1, 100000000, 0, 100323700, NO TRIGGER, 0, <s1.t1:>, <>
Reaction ends, s1, 0, 1, 100000000, 0, 100327300, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 100000000, 0, 100346600, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 100000000, 0, 100347400, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 100000000, 0, 100348900, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 100000000, 0, 100359000, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 0, 1, 393900, NO TRIGGER, 0, <>, <>
Worker wait ends, NO REACTOR, none, 2, 20000000, 0, 20486700, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 20000000, 0, 20487000, NO TRIGGER, 0, <>, <>
Worker wait ends, NO REACTOR, none, 2, 40000000, 1, 40303200, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 40000000, 1, 40303700, NO TRIGGER, 0, <>, <>
Worker wait ends, NO REACTOR, none, 2, 60000000, 1, 60349400, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 60000000, 1, 60350500, NO TRIGGER, 0, <>, <>
Worker wait ends, NO REACTOR, none, 2, 80000000, 1, 80702100, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 80000000, 1, 80703500, NO TRIGGER, 0, <>, <>
Worker wait ends, NO REACTOR, none, 2, 100000000, 0, 100433000, NO TRIGGER, 0, <>, <>
