Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, dataFusion, 0, 1, 60000000, 0, 60194900, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 60000000, 0, 60350600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 60000000, 0, 60350800, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 60000000, 1, 60351300, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 60000000, 1, 60351400, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 60000000, 1, 60374300, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 60000000, 1, 60374400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 60000000, 1, 60374600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 60000000, 1, 60374900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 69000000, 0, 69324800, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 69000000, 0, 69326200, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 69000000, 0, 69327500, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 69000000, 0, 69328100, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 69000000, 0, 69488100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 69000000, 0, 69488300, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 69000000, 1, 69488800, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 69000000, 1, 69488900, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 69000000, 1, 69538500, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 69000000, 1, 69546000, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 69000000, 1, 69546200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 69000000, 1, 69546500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 70000000, 0, 70124300, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 70000000, 0, 70124800, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 70000000, 0, 70125400, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 70000000, 0, 70165700, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 70000000, 0, 70338200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 70000000, 0, 70338400, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 70000000, 1, 70338800, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 70000000, 1, 70339000, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 70000000, 1, 70356400, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 70000000, 1, 70356500, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 70000000, 1, 70356600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 70000000, 1, 70357000, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 80000000, 0, 80273100, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 80000000, 0, 80273900, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 80000000, 0, 80275100, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 80000000, 0, 80297500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 80000000, 0, 80454800, NO TRIGGER, 0, <>, <>
Reaction starts, semantic, 1, 1, 80000000, 0, 80455100, NO TRIGGER, 0, <semantic.t:>, <>
Reaction ends, semantic, 1, 1, 80000000, 0, 80455300, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 80000000, 0, 80455400, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 80000000, 1, 80455900, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 80000000, 1, 80456000, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 80000000, 1, 80477800, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 80000000, 1, 80477900, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 80000000, 1, 80478000, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 80000000, 1, 80478400, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 90000000, 0, 90205200, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 90000000, 0, 90206000, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 90000000, 0, 90207000, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 90000000, 0, 90223800, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 90000000, 0, 90397400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 90000000, 0, 90397600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 90000000, 1, 90398100, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 90000000, 1, 90398300, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 90000000, 1, 90432000, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 90000000, 1, 90432500, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 90000000, 1, 90432600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 90000000, 1, 90433000, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 100000000, 0, 100303400, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 100000000, 0, 100304400, NO TRIGGER, 0, <lidar.tLidar:>, <>
